source,category,complex_count,fraction_within_source
RCSB PDB,"E3:PDB experimental complex, 136 contact atom pairs <=5A",4,0.0022727272727272726
RCSB PDB,"E3:PDB experimental complex, 741 contact atom pairs <=5A",4,0.0022727272727272726
RCSB PDB,"E3:PDB experimental complex, 299 contact atom pairs <=5A",3,0.0017045454545454545
RCSB PDB,"E3:PDB experimental complex, 331 contact atom pairs <=5A",3,0.0017045454545454545
RCSB PDB,"E3:PDB experimental complex, 323 contact atom pairs <=5A",3,0.0017045454545454545
RCSB PDB,"E3:PDB experimental complex, 296 contact atom pairs <=5A",3,0.0017045454545454545
RCSB PDB,"E3:PDB experimental complex, 330 contact atom pairs <=5A",3,0.0017045454545454545
RCSB PDB,"E3:PDB experimental complex, 70 contact atom pairs <=5A",3,0.0017045454545454545
RCSB PDB,"E3:PDB experimental complex, 259 contact atom pairs <=5A",3,0.0017045454545454545
RCSB PDB,"E3:PDB experimental complex, 361 contact atom pairs <=5A",3,0.0017045454545454545
RCSB PDB,"E3:PDB experimental complex, 168 contact atom pairs <=5A",3,0.0017045454545454545
RCSB PDB,"E3:PDB experimental complex, 225 contact atom pairs <=5A",3,0.0017045454545454545
RCSB PDB,"E3:PDB experimental complex, 285 contact atom pairs <=5A",3,0.0017045454545454545
RCSB PDB,"E3:PDB experimental complex, 319 contact atom pairs <=5A",3,0.0017045454545454545
RCSB PDB,"E3:PDB experimental complex, 62 contact atom pairs <=5A",3,0.0017045454545454545
RCSB PDB,"E3:PDB experimental complex, 87 contact atom pairs <=5A",3,0.0017045454545454545
RCSB PDB,"E3:PDB experimental complex, 235 contact atom pairs <=5A",3,0.0017045454545454545
RCSB PDB,"E3:PDB experimental complex, 246 contact atom pairs <=5A",3,0.0017045454545454545
RCSB PDB,"E3:PDB experimental complex, 133 contact atom pairs <=5A",3,0.0017045454545454545
RCSB PDB,"E3:PDB experimental complex, 209 contact atom pairs <=5A",3,0.0017045454545454545
RCSB PDB,"E3:PDB experimental complex, 23 contact atom pairs <=5A",3,0.0017045454545454545
RCSB PDB,"E3:PDB experimental complex, 186 contact atom pairs <=5A",3,0.0017045454545454545
RCSB PDB,"E3:PDB experimental complex, 191 contact atom pairs <=5A",3,0.0017045454545454545
RCSB PDB,"E3:PDB experimental complex, 112 contact atom pairs <=5A",3,0.0017045454545454545
RCSB PDB,"E3:PDB experimental complex, 193 contact atom pairs <=5A",3,0.0017045454545454545
RCSB PDB,"E3:PDB experimental complex, 234 contact atom pairs <=5A",3,0.0017045454545454545
RCSB PDB,"E3:PDB experimental complex, 243 contact atom pairs <=5A",3,0.0017045454545454545
RCSB PDB,"E3:PDB experimental complex, 9 contact atom pairs <=5A",3,0.0017045454545454545
RCSB PDB,"E3:PDB experimental complex, 24 contact atom pairs <=5A",3,0.0017045454545454545
RCSB PDB,"E3:PDB experimental complex, 21 contact atom pairs <=5A",3,0.0017045454545454545
RCSB PDB,"E3:PDB experimental complex, 211 contact atom pairs <=5A",3,0.0017045454545454545
RCSB PDB,"E3:PDB experimental complex, 149 contact atom pairs <=5A",3,0.0017045454545454545
RCSB PDB,"E3:PDB experimental complex, 724 contact atom pairs <=5A",3,0.0017045454545454545
RCSB PDB,"E3:PDB experimental complex, 602 contact atom pairs <=5A",3,0.0017045454545454545
RCSB PDB,"E3:PDB experimental complex, 194 contact atom pairs <=5A",3,0.0017045454545454545
RCSB PDB,"E3:PDB experimental complex, 358 contact atom pairs <=5A",3,0.0017045454545454545
RCSB PDB,"E3:PDB experimental complex, 114 contact atom pairs <=5A",3,0.0017045454545454545
RCSB PDB,"E3:PDB experimental complex, 239 contact atom pairs <=5A",3,0.0017045454545454545
RCSB PDB,"E3:PDB experimental complex, 233 contact atom pairs <=5A",3,0.0017045454545454545
RCSB PDB,"E3:PDB experimental complex, 688 contact atom pairs <=5A",3,0.0017045454545454545
RCSB PDB,"E3:PDB experimental complex, 232 contact atom pairs <=5A",3,0.0017045454545454545
RCSB PDB,"E3:PDB experimental complex, 189 contact atom pairs <=5A",3,0.0017045454545454545
RCSB PDB,"E3:PDB experimental complex, 253 contact atom pairs <=5A",3,0.0017045454545454545
RCSB PDB,"E3:PDB experimental complex, 345 contact atom pairs <=5A",3,0.0017045454545454545
RCSB PDB,"E3:PDB experimental complex, 257 contact atom pairs <=5A",3,0.0017045454545454545
RCSB PDB,"E3:PDB experimental complex, 29 contact atom pairs <=5A",3,0.0017045454545454545
RCSB PDB,"E3:PDB experimental complex, 354 contact atom pairs <=5A",3,0.0017045454545454545
RCSB PDB,"E3:PDB experimental complex, 359 contact atom pairs <=5A",3,0.0017045454545454545
RCSB PDB,"E3:PDB experimental complex, 195 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 305 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 278 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 270 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 274 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 267 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 205 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 265 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 289 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 280 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 356 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 343 contact atom pairs <=5A",2,0.0011363636363636363
RCSB PDB,"E3:PDB experimental complex, 294 contact atom pairs <=5A",2,0.0011363636363636363
