complex_id,source,rna_hash,length_nt
PAIR:089036dad411e44277a6a21c834894c805d205c86626793c88b1c73d97657cd6,NPInter binding-site,c1b623861ece5f0ee3597c1542feeec6354f8b692db42f3fb1c98dee6a5b8ed5,72
PAIR:8e0cbeb51d2a1e75e8de4521c17a4e9e698c73f287ace0ad54a481ea320a5d3d,NPInter 主表,732fd3cbdfb94e7787747d1c38436369f4c6a52fbbb4d3a4b9020b53bacc0c90,424
PAIR:ca9c99a398195dcde7bddf4a5f913e70ec6d0054dc1a7a67529a4e936efa086f,NPInter 主表,2d750c4cca5e216e044b65a9c367be425c4272ef604ca88b6bb3a411c37e76d2,295
PAIR:19319e1aea2d6bdb64bbd82616128b989d362671846a70979ed2405f9b08d3d7,NPInter 主表,08f3d84db746a6d4af5435924253368fcbc4de1389678fc2b7aa96ab4da0df64,201
PAIR:1891016a664f1d38799fc20e30b39a240dbeb3c7ce8ddc8e208829ab11b0c0ca,NPInter binding-site,9ef6519b12dd15ddf2e0aa8b8ac466c420b02e24b8f25999025778808fc4b3ab,34
PDB:2J0Q,RCSB PDB,279e577ecb15dd41fac1adafdb47740517d6444356ea23ee267eb0e5f33d5dc2,15
PAIR:3baaaac4d0301357480f4696819431a6ac07fa5f38252c7a1841394fc318d153,NPInter binding-site,d6d2f2e49ad8e14b1ab2f85bd872cfde658b456f0353f32a2a978ea58a4436a9,29
PAIR:53b9ca7106a941e9b8069ca0e42ee8285ef08dc82861d8145551d9cd40570338,NPInter 主表,64d77401919cf2783ef2cc473d06e4b42fca7c16989ecb047c5d3f10b6ffac9d,469
PAIR:0b7cee743d3a4e8a463b828b7a57f4df0cb43a3e9e5f20e59d6138bbf8d3915e,NPInter binding-site,d176d985cccf1a34da14ef42a9d6ef14bc38d542e51d4d2f7727ddb74f084704,80
PAIR:752eb2cbbf565caf7a5e8270dab543cfd9fc9d538840540c06a0641b4daf7686,NPInter binding-site,07b780c76470e6f1206e15ff4827cad4f4960f6bff2e50abb883389d5ed2c1eb,35
PAIR:e50358e16afeae46bed476c18c7f1c4be87f86286276119f951dfc2bdd42d7a8,NPInter binding-site,7eb618b74b2e9c87a55999c515aa7f836256e9d77c811879622aaef13b1cbd9b,30
PAIR:05ddca361b459daba4b6e4de9a115ef6507a8c48482652479de07b1994125161,NPInter binding-site,639d4482bb0c016540809c17cff833289d17a9e57859d87037dca4bd1d11efc3,60
PAIR:9d904d620dce9f359eb5940ed2fa896b579638b6dd09e2c8a84c07024aa9e2b4,NPInter 主表,4b85ff44d17297ec0250dd7c5fef3c2f17eb6aad31fcf1519485b72688c3c7d6,478
PAIR:0800b91cc19f80d2ec5ae3d070a1c3041748050d46588ed50c5882932c655c9d,NPInter binding-site,979d6352aa929628b1f8518a6f82da4bf1fda6ec733ca12be62ba205b13adc2b,32
